club_id	player_name	identity_key	review_status
eu_austria_austria-wien	Roland Linz	rolandlinz	DRAFT
eu_austria_austria-wien	Milenko Ačimovič	milenkoacimovic	DRAFT
eu_austria_austria-wien	Aleksandar Dragović	aleksandardragovic	DRAFT
eu_austria_austria-wien	Zlatko Junuzović	zlatkojunuzovic	DRAFT
eu_austria_austria-wien	Peter Hlinka	peterhlinka	DRAFT
eu_austria_austria-wien	Julian Baumgartlinger	julianbaumgartlinger	DRAFT
eu_austria_austria-wien	Georg Margreitter	georgmargreitter	DRAFT
eu_austria_austria-wien	Petr Voříšek	petrvorisek	DRAFT
eu_austria_austria-wien	Fernando Troyansky	fernandotroyansky	DRAFT
eu_austria_austria-wien	Szabolcs Sáfár	szabolcssafar	DRAFT
eu_austria_austria-wien	Heinz Lindner	heinzlindner	DRAFT
eu_austria_austria-wien	Manuel Ortlechner	manuelortlechner	DRAFT
eu_austria_austria-wien	Markus Suttner	markussuttner	DRAFT
eu_austria_austria-wien	Florian Klein	florianklein	DRAFT
eu_austria_austria-wien	Tomáš Jun	tomasjun	DRAFT
eu_austria_austria-wien	Nacer Barazite	nacerbarazite	DRAFT
eu_austria_rapid-wien	Steffen Hofmann	steffenhofmann	DRAFT
eu_austria_rapid-wien	Hamdi Salihi	hamdisalihi	DRAFT
eu_austria_rapid-wien	Jan Vennegoor of Hesselink	janvennegoorofhesselink	DRAFT
eu_austria_rapid-wien	Markus Heikkinen	markusheikkinen	DRAFT
eu_austria_rapid-wien	Veli Kavlak	velikavlak	DRAFT
eu_austria_rapid-wien	Ragnvald Soma	ragnvaldsoma	DRAFT
eu_austria_rapid-wien	Christoph Saurer	christophsaurer	DRAFT
eu_austria_rapid-wien	Christopher Drazan	christopherdrazan	DRAFT
eu_austria_rapid-wien	Mario Sonnleitner	mariosonnleitner	DRAFT
eu_austria_rapid-wien	Yaşin Pehlivan	yasinpehlivan	DRAFT
eu_austria_rapid-wien	Christopher Trimmel	christophertrimmel	DRAFT
eu_austria_rapid-wien	Atdhe Nuhiu	atdhenuhiu	DRAFT
eu_austria_rapid-wien	Markus Katzer	markuskatzer	DRAFT
eu_austria_rapid-wien	Thomas Hinum	thomashinum	DRAFT
eu_austria_rapid-wien	Jürgen Patocka	jurgenpatocka	DRAFT
eu_austria_rapid-wien	Tanju Kayhan	tanjukayhan	DRAFT
eu_austria_rapid-wien	Andreas Dober	andreasdober	DRAFT
eu_austria_rapid-wien	René Gartler	renegartler	DRAFT
eu_austria_rapid-wien	Hannes Eder	hanneseder	DRAFT
eu_austria_rapid-wien	Stefan Kulovits	stefankulovits	DRAFT
eu_austria_red-bull-salzburg	Christoph Leitgeb	christophleitgeb	DRAFT
eu_austria_red-bull-salzburg	Ibrahim Sekagya	ibrahimsekagya	DRAFT
eu_austria_red-bull-salzburg	Rabiu Afolabi	rabiuafolabi	DRAFT
eu_austria_red-bull-salzburg	David Mendes da Silva	davidmendesdasilva	DRAFT
eu_austria_red-bull-salzburg	Jakob Jantscher	jakobjantscher	DRAFT
eu_austria_red-bull-salzburg	Dušan Švento	dusansvento	DRAFT
eu_austria_red-bull-salzburg	Gonzalo Zárate	gonzalozarate	DRAFT
eu_austria_red-bull-salzburg	Johan Vonlanthen	johanvonlanthen	DRAFT
eu_austria_red-bull-salzburg	Nikola Pokrivač	nikolapokrivac	DRAFT
eu_austria_red-bull-salzburg	Simon Cziommer	simoncziommer	DRAFT
eu_austria_red-bull-salzburg	Franz Schiemer	franzschiemer	DRAFT
eu_austria_red-bull-salzburg	Roman Wallner	romanwallner	DRAFT
eu_austria_red-bull-salzburg	Andreas Ulmer	andreasulmer	DRAFT
eu_austria_red-bull-salzburg	Christian Schwegler	christianschwegler	DRAFT
eu_austria_red-bull-salzburg	Louis Clément Ngwat-Mahop	louisclementngwatmahop	DRAFT
eu_austria_red-bull-salzburg	Milan Dudić	milandudic	DRAFT
eu_austria_red-bull-salzburg	Thomas Augustinussen	thomasaugustinussen	CROSS_CLUB
eu_austria_red-bull-salzburg	Robin Nelisse	robinnelisse	DRAFT
eu_austria_red-bull-salzburg	Stefan Hierländer	stefanhierlander	DRAFT
eu_austria_sturm-graz	Andreas Hölzl	andreasholzl	DRAFT
eu_austria_sturm-graz	Imre Szabics	imreszabics	DRAFT
eu_austria_sturm-graz	Samir Muratović	samirmuratovic	DRAFT
