type	league	clubIndex	club	playerIndex	player	position	age	overall	nationality	speed	resistance	quality	morale	style	formation	value	wage	uid	provenance
T	eu_austria	0	Austria Wien	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:0	REGISTRY
P	eu_austria	0	Austria Wien	0	Roland Linz	3	28	74	Unknown	72	84	63	55	0	0	5184000	280000	eu:rolandlinz	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	1	Milenko Ačimovič	2	33	73	Unknown	74	53	72	55	0	0	4761000	260000	eu:milenkoacimovic	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	2	Aleksandar Dragović	1	19	71	Unknown	83	42	67	55	0	0	3969000	220000	eu:aleksandardragovic	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	3	Zlatko Junuzović	2	22	71	Unknown	75	70	67	55	0	0	3969000	220000	eu:zlatkojunuzovic	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	4	Peter Hlinka	2	31	70	Unknown	72	74	63	55	0	0	3600000	200000	eu:peterhlinka	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	5	Julian Baumgartlinger	2	22	71	Unknown	65	59	64	55	0	0	3969000	220000	eu:julianbaumgartlinger	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	6	Georg Margreitter	1	21	70	Unknown	61	72	59	55	0	0	3600000	200000	eu:georgmargreitter	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	7	Petr Voříšek	2	31	67	Unknown	79	50	61	55	0	0	2601000	140000	eu:petrvorisek	SEASON_APPS_FIFA11
P	eu_austria	0	Austria Wien	8	Fernando Troyansky	1	22	60	Unknown	84	50	57	55	0	0	900000	50000	eu:fernandotroyansky	FIFA11_RATING_EST_AGE_ECONOMY
P	eu_austria	0	Austria Wien	9	Szabolcs Sáfár	0	35	66	Unknown	62	56	63	55	0	0	2304000	120000	eu:szabolcssafar	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	10	Heinz Lindner	0	20	71	Unknown	60	68	60	55	0	0	3969000	220000	eu:heinzlindner	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	11	Manuel Ortlechner	1	30	71	Unknown	64	66	69	55	0	0	3969000	220000	eu:manuelortlechner	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	12	Markus Suttner	1	23	71	Unknown	62	71	70	55	0	0	3969000	220000	eu:markussuttner	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	13	Florian Klein	2	23	73	Unknown	59	67	66	55	0	0	4761000	260000	eu:florianklein	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	14	Tomáš Jun	3	27	71	Unknown	73	69	63	55	0	0	3969000	220000	eu:tomasjun	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	15	Nacer Barazite	2	20	68	Unknown	60	67	62	55	0	0	2916000	160000	eu:nacerbarazite	SEASON_APPS_EST_RATING
P	eu_austria	0	Austria Wien	16	Michael Liendl	2	24	71	Unknown	72	72	67	55	0	0	3969000	220000	eu:michaelliendl:25101985	SEASON_ARCHIVE_EST_RATING
P	eu_austria	0	Austria Wien	17	Marko Stanković	2	24	71	Unknown	68	67	66	55	0	0	3969000	220000	eu:markostankovic:17021986	SEASON_ARCHIVE_EST_RATING
P	eu_austria	0	Austria Wien	18	Marin Leovac	1	21	69	Unknown	70	66	65	55	0	0	3249000	180000	eu:marinleovac:07081988	SEASON_ARCHIVE_EST_RATING
T	eu_austria	1	Rapid Wien	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:1	REGISTRY
P	eu_austria	1	Rapid Wien	0	Steffen Hofmann	2	29	76	Unknown	72	78	61	55	0	0	6084000	330000	eu:steffenhofmann	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	1	Hamdi Salihi	3	26	74	Unknown	78	71	77	55	0	0	5184000	280000	eu:hamdisalihi	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	2	Jan Vennegoor of Hesselink	3	31	70	Unknown	68	72	76	55	0	0	3600000	200000	eu:janvennegoorofhesselink	SEASON_APPS_EST_RATING
P	eu_austria	1	Rapid Wien	3	Markus Heikkinen	2	31	72	Unknown	65	60	71	55	0	0	4356000	240000	eu:markusheikkinen	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	4	Veli Kavlak	2	21	71	Unknown	73	52	71	55	0	0	3969000	220000	eu:velikavlak	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	5	Ragnvald Soma	1	30	73	Unknown	63	75	58	55	0	0	4761000	260000	eu:ragnvaldsoma	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	6	Christoph Saurer	2	24	71	Unknown	73	63	65	55	0	0	3969000	220000	eu:christophsaurer	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	7	Christopher Drazan	2	19	70	Unknown	76	59	66	55	0	0	3600000	200000	eu:christopherdrazan	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	8	Mario Sonnleitner	1	23	73	Unknown	59	78	58	55	0	0	4761000	260000	eu:mariosonnleitner	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	9	Yaşin Pehlivan	2	21	70	Unknown	79	60	63	55	0	0	3600000	200000	eu:yasinpehlivan	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	10	Christopher Trimmel	3	23	72	Unknown	77	64	63	55	0	0	4356000	240000	eu:christophertrimmel	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	11	Atdhe Nuhiu	3	21	72	Unknown	76	53	61	55	0	0	4356000	240000	eu:atdhenuhiu	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	12	Markus Katzer	1	30	73	Unknown	70	36	61	55	0	0	4761000	260000	eu:markuskatzer	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	13	Thomas Hinum	2	23	68	Unknown	74	42	60	55	0	0	2916000	160000	eu:thomashinum	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	14	Jürgen Patocka	1	33	69	Unknown	70	58	61	55	0	0	3249000	180000	eu:jurgenpatocka	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	15	Tanju Kayhan	1	21	72	Unknown	70	60	61	55	0	0	4356000	240000	eu:tanjukayhan	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	16	Andreas Dober	1	24	68	Unknown	64	52	62	55	0	0	2916000	160000	eu:andreasdober	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	17	René Gartler	3	24	69	Unknown	74	52	58	55	0	0	3249000	180000	eu:renegartler	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	18	Hannes Eder	1	26	65	Unknown	80	44	64	55	0	0	2025000	110000	eu:hanneseder	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	19	Stefan Kulovits	2	27	69	Unknown	74	52	58	55	0	0	3249000	180000	eu:stefankulovits	SEASON_APPS_FIFA11
P	eu_austria	1	Rapid Wien	20	Raimund Hedl	0	35	72	Unknown	70	74	72	55	0	0	4356000	240000	eu:raimundhedl:31081974	SEASON_ARCHIVE_EST_RATING
P	eu_austria	1	Rapid Wien	21	Helge Payer	0	30	69	Unknown	62	65	70	55	0	0	3249000	180000	eu:helgepayer:09081979	SEASON_ARCHIVE_EST_RATING
T	eu_austria	2	Red Bull Salzburg	-1		-1	2010	0	Austria	0	0	0	55	55	2	0	0	eu_austria:2	REGISTRY
P	eu_austria	2	Red Bull Salzburg	0	Christoph Leitgeb	2	25	75	Unknown	83	68	71	55	0	0	5625000	310000	eu:christophleitgeb	SEASON_APPS_FIFA11
