league	club	player	nationality	source
England	Chelsea	Cech	Czech Republic	fifa11
England	Chelsea	Bosingwa	Portugal	fifa11
England	Chelsea	Terry	England	fifa11
England	Chelsea	Ivanovic	Serbia	fifa11
England	Chelsea	A. Cole	England	fifa11
England	Chelsea	Benayoun	Israel	fifa11
England	Chelsea	Essien	Ghana	fifa11
England	Chelsea	Malouda	France	fifa11
England	Chelsea	Lampard	England	fifa11
England	Chelsea	Anelka	France	fifa11
England	Chelsea	Drogba	Ivory Coast	fifa11
England	Chelsea	Hilario	Portugal	fifa11
England	Chelsea	P. Ferreira	Portugal	fifa11
England	Chelsea	Alex	Brazil	fifa11
England	Chelsea	Bruma	Netherlands	fifa11
England	Chelsea	Ramires	Brazil	fifa11
England	Chelsea	Kalou	Ivory Coast	fifa11
England	Chelsea	Mikel	Nigeria	fifa11
England	Chelsea	Zhirkov	Russia	fifa11
England	Chelsea	Sturridge	England	fifa11
England	Man United	Van der Sar	Netherlands	fifa11
England	Man United	Rafael	Brazil	fifa11
England	Man United	Ferdinand	England	fifa11
England	Man United	Vidic	Serbia	fifa11
England	Man United	Evra	France	fifa11
England	Man United	Scholes	England	fifa11
England	Man United	Carrick	England	fifa11
England	Man United	Valencia	Ecuador	fifa11
England	Man United	Rooney	England	fifa11
England	Man United	Nani	Portugal	fifa11
England	Man United	Hernandez	Mexico	fifa11
England	Man United	Park	South Korea	fifa11
England	Man United	Berbatov	Bulgaria	fifa11
England	Man United	Kuszczak	Poland	fifa11
England	Man United	Fabio	Brazil	fifa11
England	Man United	Fletcher	Scotland	fifa11
England	Man United	Giggs	Wales	fifa11
England	Man United	Anderson	Brazil	fifa11
England	Man United	Evans	Northern Ireland	fifa11
England	Man United	Smalling	England	fifa11
England	Arsenal	Szczesny	Poland	fifa11
England	Arsenal	Sagna	France	fifa11
England	Arsenal	Vermaelen	Belgium	fifa11
England	Arsenal	Koscielny	France	fifa11
England	Arsenal	Clichy	France	fifa11
England	Arsenal	Fabregas	Spain	fifa11
England	Arsenal	Rosicky	Czech Republic	fifa11
England	Arsenal	Arshavin	Russia	fifa11
England	Arsenal	Bendtner	Denmark	fifa11
England	Arsenal	Walcott	England	fifa11
England	Arsenal	Van Persie	Netherlands	fifa11
England	Arsenal	Fabianski	Poland	fifa11
England	Arsenal	Squillaci	France	fifa11
England	Arsenal	Ramsey	Wales	fifa11
England	Arsenal	Song	Cameroon	fifa11
England	Arsenal	Denilson	Brazil	fifa11
England	Arsenal	Wilshere	England	fifa11
England	Arsenal	Chamakh	Morocco	fifa11
England	Arsenal	Diaby	France	fifa11
England	Arsenal	Gibbs	England	fifa11
England	Tottenham	Gomes	Brazil	fifa11
England	Tottenham	Corluka	Croatia	fifa11
England	Tottenham	Hutton	Scotland	fifa11
England	Tottenham	Bale	Wales	fifa11
England	Tottenham	Assou-Ekotto	Cameroon	fifa11
England	Tottenham	Palacios	Honduras	fifa11
England	Tottenham	King	England	fifa11
England	Tottenham	Modric	Croatia	fifa11
England	Tottenham	Lennon	England	fifa11
England	Tottenham	Defoe	England	fifa11
England	Tottenham	Pavlyuchenko	Russia	fifa11
England	Tottenham	Cudicini	Italy	fifa11
England	Tottenham	Van der Vaart	Netherlands	fifa11
England	Tottenham	Kaboul	France	fifa11
England	Tottenham	Crouch	England	fifa11
England	Tottenham	Bentley	England	fifa11
England	Tottenham	Huddlestone	England	fifa11
England	Tottenham	Sandro	Brazil	fifa11
England	Tottenham	Rose	England	fifa11
England	Tottenham	Dawson	England	fifa11
England	Man City	Given	Republic of Ireland	fifa11
England	Man City	Boateng	Germany	fifa11
England	Man City	K. Toure	Ivory Coast	fifa11
England	Man City	Lescott	England	fifa11
England	Man City	Zabaleta	Argentina	fifa11
England	Man City	Y. Toure	Ivory Coast	fifa11
England	Man City	Barry	England	fifa11
England	Man City	Wright-Phillips	England	fifa11
England	Man City	Balotelli	Italy	fifa11
England	Man City	Adebayor	Togo	fifa11
England	Man City	Tevez	Argentina	fifa11
England	Man City	Hart	England	fifa11
England	Man City	Kompany	Belgium	fifa11
England	Man City	Kolarov	Serbia	fifa11
England	Man City	Jong	Netherlands	fifa11
England	Man City	Vieira	France	fifa11
England	Man City	Milner	England	fifa11
England	Man City	Johnson	England	fifa11
England	Man City	Silva	Brazil	fifa11
England	Man City	Santa Cruz	Paraguay	fifa11
England	Aston Villa	Friedel	United States	fifa11
England	Aston Villa	Young	England	fifa11
England	Aston Villa	Dunne	Republic of Ireland	fifa11
England	Aston Villa	Cuellar	Spain	fifa11
England	Aston Villa	Warnock	England	fifa11
England	Aston Villa	Albrighton	England	fifa11
England	Aston Villa	Petrov	Bulgaria	fifa11
England	Aston Villa	Reo-Coker	England	fifa11
England	Aston Villa	Downing	England	fifa11
