league	club	playerIndex	player	age	value	wage	method
en	Chelsea	0	Cech	28	27800000	2100000	fifa11-club
en	Chelsea	2	Terry	29	23000000	1700000	fifa11-club
en	Chelsea	4	A. Cole	29	20000000	1500000	fifa11-club
en	Chelsea	1	Bosingwa	28	7300000	550000	fifa11-club
en	Chelsea	3	Ivanovic	26	7000000	500000	fifa11-club
en	Chelsea	8	Lampard	32	23100000	1750000	fifa11-club
en	Chelsea	6	Essien	27	28900000	2150000	fifa11-club
en	Chelsea	7	Malouda	30	15100000	1150000	fifa11-club
en	Chelsea	15	Ramires	23	11600000	850000	fifa11-club
en	Chelsea	10	Drogba	32	27100000	2050000	fifa11-club
en	Chelsea	9	Anelka	31	9100000	700000	fifa11-club
en	Chelsea	11	Hilario	34	2200000	150000	fifa11-club
en	Chelsea	14	Bruma	18	7100000	550000	fifa11-club
en	Chelsea	13	Alex	28	4800000	350000	fifa11-club
en	Chelsea	12	P. Ferreira	31	2800000	200000	fifa11-club
en	Chelsea	17	Mikel	23	7600000	550000	fifa11-club
en	Chelsea	5	Benayoun	30	3800000	300000	fifa11-club
en	Chelsea	18	Zhirkov	27	5600000	400000	fifa11-club
en	Chelsea	16	Kalou	25	6700000	500000	fifa11-club
en	Chelsea	19	Sturridge	20	4200000	300000	fifa11-club
en	Chelsea	400	Turnbull	25	3300000	250000	audited-addition
en	Chelsea	401	Van Aanholt	20	1900000	150000	audited-addition
en	Chelsea	402	McEachran	17	2400000	200000	audited-addition
en	Chelsea	403	Kakuta	19	4100000	300000	audited-addition
en	Man United	20	Van der Sar	39	11700000	900000	fifa11-club
en	Man United	23	Vidic	28	36200000	2700000	fifa11-club
en	Man United	22	Ferdinand	31	19000000	1400000	fifa11-club
en	Man United	24	Evra	29	20000000	1500000	fifa11-club
en	Man United	21	Rafael	20	16900000	1250000	fifa11-club
en	Man United	26	Carrick	29	18900000	1400000	fifa11-club
en	Man United	25	Scholes	35	9000000	700000	fifa11-club
en	Man United	31	Park	29	11800000	900000	fifa11-club
en	Man United	28	Rooney	24	56900000	4250000	fifa11-club
en	Man United	32	Berbatov	29	35700000	2700000	fifa11-club
en	Man United	29	Nani	23	45400000	3400000	fifa11-club
en	Man United	33	Kuszczak	28	6700000	500000	fifa11-club
en	Man United	39	Smalling	20	13500000	1000000	fifa11-club
en	Man United	38	Evans	22	9700000	750000	fifa11-club
en	Man United	34	Fabio	20	7600000	550000	fifa11-club
en	Man United	27	Valencia	25	16600000	1250000	fifa11-club
en	Man United	36	Giggs	36	4100000	300000	fifa11-club
en	Man United	35	Fletcher	26	12000000	900000	fifa11-club
en	Man United	37	Anderson	22	13800000	1050000	fifa11-club
en	Man United	30	Hernandez	22	28600000	2150000	fifa11-club
en	Man United	404	O'Shea	29	7800000	600000	audited-addition
en	Man United	405	Brown	30	7100000	550000	audited-addition
en	Man United	406	Gibson	22	8600000	650000	audited-addition
en	Man United	407	Owen	29	12300000	900000	audited-addition
en	Man United	408	Bebe	20	2300000	150000	audited-addition
en	Arsenal	40	Szczesny	20	9900000	750000	fifa11-club
en	Arsenal	41	Sagna	27	9200000	700000	fifa11-club
en	Arsenal	43	Koscielny	24	10800000	800000	fifa11-club
en	Arsenal	44	Clichy	25	10500000	800000	fifa11-club
en	Arsenal	42	Vermaelen	24	7800000	600000	fifa11-club
en	Arsenal	45	Fabregas	23	50300000	3750000	fifa11-club
en	Arsenal	54	Song	22	17200000	1300000	fifa11-club
en	Arsenal	56	Wilshere	18	15000000	1100000	fifa11-club
en	Arsenal	47	Arshavin	29	8200000	600000	fifa11-club
en	Arsenal	50	Van Persie	27	37600000	2800000	fifa11-club
en	Arsenal	49	Walcott	21	12800000	950000	fifa11-club
en	Arsenal	51	Fabianski	25	3300000	250000	fifa11-club
en	Arsenal	59	Gibbs	20	6800000	500000	fifa11-club
en	Arsenal	52	Squillaci	30	3000000	200000	fifa11-club
en	Arsenal	46	Rosicky	29	5900000	450000	fifa11-club
en	Arsenal	53	Ramsey	19	6400000	500000	fifa11-club
en	Arsenal	58	Diaby	24	5700000	450000	fifa11-club
en	Arsenal	55	Denilson	22	5200000	400000	fifa11-club
en	Arsenal	48	Bendtner	22	8000000	600000	fifa11-club
en	Arsenal	57	Chamakh	26	6200000	450000	fifa11-club
en	Arsenal	409	Almunia	33	4100000	300000	audited-addition
en	Arsenal	410	Djourou	23	7900000	600000	audited-addition
en	Arsenal	411	Eboue	27	5200000	400000	audited-addition
en	Arsenal	412	Vela	21	7300000	550000	audited-addition
en	Arsenal	413	Mannone	22	3200000	250000	audited-addition
en	Tottenham	60	Gomes	29	7700000	600000	fifa11-club
en	Tottenham	64	Assou-Ekotto	26	8400000	650000	fifa11-club
en	Tottenham	79	Dawson	26	8400000	650000	fifa11-club
en	Tottenham	62	Hutton	25	9000000	700000	fifa11-club
en	Tottenham	61	Corluka	24	9200000	700000	fifa11-club
en	Tottenham	66	King	29	5600000	400000	fifa11-club
en	Tottenham	67	Modric	24	29500000	2200000	fifa11-club
en	Tottenham	63	Bale	21	29300000	2200000	fifa11-club
en	Tottenham	72	Van der Vaart	27	19500000	1450000	fifa11-club
en	Tottenham	70	Pavlyuchenko	28	10700000	800000	fifa11-club
en	Tottenham	69	Defoe	27	8700000	650000	fifa11-club
en	Tottenham	71	Cudicini	36	1500000	100000	fifa11-club
en	Tottenham	78	Rose	20	5900000	450000	fifa11-club
en	Tottenham	73	Kaboul	24	4600000	350000	fifa11-club
en	Tottenham	68	Lennon	23	10100000	750000	fifa11-club
en	Tottenham	65	Palacios	26	6700000	500000	fifa11-club
en	Tottenham	75	Bentley	26	3700000	300000	fifa11-club
en	Tottenham	76	Huddlestone	23	3800000	300000	fifa11-club
en	Tottenham	77	Sandro	21	3500000	250000	fifa11-club
en	Tottenham	74	Crouch	29	3200000	250000	fifa11-club
en	Tottenham	414	Bassong	24	7100000	550000	audited-addition
en	Tottenham	415	Jenas	27	4900000	350000	audited-addition
en	Tottenham	416	Kranjcar	26	7500000	550000	audited-addition
en	Tottenham	417	Keane	30	5100000	400000	audited-addition
en	Tottenham	418	Woodgate	30	3000000	200000	audited-addition
en	Man City	91	Hart	23	13900000	1050000	fifa11-club
en	Man City	92	Kompany	24	24700000	1850000	fifa11-club
en	Man City	84	Zabaleta	25	18000000	1350000	fifa11-club
en	Man City	83	Lescott	28	12500000	950000	fifa11-club
en	Man City	82	K. Toure	29	10200000	750000	fifa11-club
en	Man City	81	Boateng	21	11600000	850000	fifa11-club
en	Man City	98	Silva	24	33900000	2550000	fifa11-club
en	Man City	85	Y. Toure	27	22300000	1650000	fifa11-club
en	Man City	86	Barry	29	13600000	1000000	fifa11-club
en	Man City	90	Tevez	26	51900000	3900000	fifa11-club
en	Man City	88	Balotelli	20	16800000	1250000	fifa11-club
