club_id	club	source_name	source_url	score	status
eu_austria_austria-wien	Austria Wien	Austria Vídeň	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	1.000	CONFIRMED
eu_austria_rapid-wien	Rapid Wien	Rapid Vídeň	https://www.eurofotbal.cz/kluby/rakousko/rapid-viden/soupiska/2010-2011/	1.000	CONFIRMED
eu_austria_red-bull-salzburg	Red Bull Salzburg	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rakousko/red-bull-salzburg/soupiska/2010-2011/	1.000	CONFIRMED
eu_austria_sturm-graz	Sturm Graz	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/rakousko/sk-sturm-graz/soupiska/2010-2011/	1.000	CONFIRMED
eu_azerbaijan_neftci-pfk	Neftçi PFK	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/azerbajdzan/neftci-baku/soupiska/2010-2011/	1.000	CONFIRMED
eu_azerbaijan_qarabag-fk	Qarabağ FK	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/azerbajdzan/qarabag-agdam/soupiska/2010-2011/	1.000	CONFIRMED
eu_belarus_bate-borisov	BATE Borisov	BATE Borisov	https://www.eurofotbal.cz/kluby/belorusko/bate-borisov/soupiska/2010/	1.000	CONFIRMED
eu_belarus_dinamo-minsk	Dinamo Minsk	Dinamo Minsk	https://www.eurofotbal.cz/kluby/belorusko/dinamo-minsk/soupiska/2010/	1.000	CONFIRMED
eu_belgium_club-brugge-kv	Club Brugge KV	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/belgie/club-bruggy/soupiska/2010-2011/	1.000	CONFIRMED
eu_belgium_kaa-gent	KAA Gent	KAA Gent	https://www.eurofotbal.cz/kluby/belgie/kaa-gent/soupiska/2010-2011/	1.000	CONFIRMED
eu_belgium_krc-genk	KRC Genk	KRC Genk	https://www.eurofotbal.cz/kluby/belgie/krc-genk/soupiska/2010-2011/	1.000	CONFIRMED
eu_belgium_ksc-lokeren	KSC Lokeren	KSC Lokeren	https://www.eurofotbal.cz/kluby/belgie/ksc-lokeren/soupiska/2010-2011/	1.000	CONFIRMED
eu_belgium_rsc-anderlecht	RSC Anderlecht	RSC Anderlecht	https://www.eurofotbal.cz/kluby/belgie/rsc-anderlecht/soupiska/2010-2011/	1.000	CONFIRMED
eu_belgium_standard-liege	Standard Liège	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/belgie/standard-lutych/soupiska/2010-2011/	1.000	CONFIRMED
eu_bulgaria_cska-sofia	CSKA Sofia	CSKA Sofia	https://www.eurofotbal.cz/kluby/bulharsko/cska-sofia/soupiska/2010-2011/	1.000	CONFIRMED
eu_bulgaria_levski-sofia	Levski Sofia	Levski Sofia	https://www.eurofotbal.cz/kluby/bulharsko/levski-sofia/soupiska/2010-2011/	1.000	CONFIRMED
eu_bulgaria_ludogorets-razgrad	Ludogorets Razgrad	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/bulharsko/ludogorec-razgrad/soupiska/2010-2011/	1.000	CONFIRMED
eu_bulgaria_litex-lovech	Litex Lovech	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/bulharsko/litex-lovec/soupiska/2010-2011/	1.000	CONFIRMED
eu_croatia_dinamo-zagreb	Dinamo Zagreb	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/chorvatsko/dinamo-zahreb/soupiska/2010-2011/	1.000	CONFIRMED
eu_croatia_hnk-rijeka	HNK Rijeka	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/chorvatsko/nk-rijeka/soupiska/2010-2011/	1.000	CONFIRMED
eu_croatia_hajduk-split	Hajduk Split	Hajduk Split	https://www.eurofotbal.cz/kluby/chorvatsko/hajduk-split/soupiska/2010-2011/	1.000	CONFIRMED
eu_cyprus_aek-larnaca	AEK Larnaca	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/kypr/aek-larnaka/soupiska/2010-2011/	1.000	CONFIRMED
eu_cyprus_apoel	APOEL	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/kypr/apoel-nikosie/soupiska/2010-2011/	1.000	CONFIRMED
eu_cyprus_apollon-limassol	Apollon Limassol	Apollon Limassol	https://www.eurofotbal.cz/kluby/kypr/apollon-limassol/soupiska/2010-2011/	1.000	CONFIRMED
eu_cyprus_omonia-nicosia	Omonia Nicosia	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/kypr/omonia-nikosie/soupiska/2010-2011/	1.000	CONFIRMED
eu_cyprus_anorthosis-famagusta	Anorthosis Famagusta	Anorthosis Famagusta	https://www.eurofotbal.cz/kluby/kypr/anorthosis-famagusta/soupiska/2010-2011/	1.000	CONFIRMED
eu_czech_slavia-praha	Slavia Praha	Slavia Praha	https://www.eurofotbal.cz/kluby/cesko/slavia-praha/soupiska/2010-2011/	1.000	CONFIRMED
eu_czech_slovan-liberec	Slovan Liberec	Slovan Liberec	https://www.eurofotbal.cz/kluby/cesko/slovan-liberec/soupiska/2010-2011/	1.000	CONFIRMED
eu_czech_sparta-praha	Sparta Praha	Sparta Praha	https://www.eurofotbal.cz/kluby/cesko/sparta-praha/soupiska/2010-2011/	1.000	CONFIRMED
eu_czech_viktoria-plzen	Viktoria Plzeň	Viktoria Plzeň	https://www.eurofotbal.cz/kluby/cesko/viktoria-plzen/soupiska/2010-2011/	1.000	CONFIRMED
eu_czech_fk-jablonec	FK Jablonec	FK Jablonec	https://www.eurofotbal.cz/kluby/cesko/fk-jablonec/soupiska/2010-2011/	1.000	CONFIRMED
eu_denmark_aab-aalborg	AaB Aalborg	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/dansko/aalborg-bk/soupiska/2010-2011/	1.000	CONFIRMED
eu_denmark_esbjerg-fb	Esbjerg fB	Esbjerg fB	https://www.eurofotbal.cz/kluby/dansko/esbjerg-fb/soupiska/2010-2011/	1.000	CONFIRMED
eu_denmark_fc-copenhagen	FC Copenhagen	FC Kodaň	https://www.eurofotbal.cz/kluby/dansko/fc-kodan/soupiska/2010-2011/	1.000	CONFIRMED
eu_denmark_fc-nordsjlland	FC Nordsjælland	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/dansko/fc-nordsjaelland/soupiska/2010-2011/	1.000	CONFIRMED
eu_denmark_odense-bk	Odense BK	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/dansko/odense-boldklub/soupiska/2010-2011/	1.000	CONFIRMED
eu_denmark_brndby-if	Brøndby IF	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/dansko/brondby-if/soupiska/2010-2011/	1.000	CONFIRMED
eu_finland_hjk-helsinki	HJK Helsinki	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/finsko/hjk-helsinky/soupiska/2010/	1.000	CONFIRMED
eu_greece_aek-athens	AEK Athens	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/recko/aek-ateny/soupiska/2010-2011/	1.000	CONFIRMED
eu_greece_aris-thessaloniki	Aris Thessaloniki	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/recko/aris-solun/soupiska/2010-2011/	1.000	CONFIRMED
eu_greece_asteras-tripolis	Asteras Tripolis	Asteras Tripolis	https://www.eurofotbal.cz/kluby/recko/asteras-tripolis/soupiska/2010-2011/	1.000	CONFIRMED
eu_greece_olympiacos	Olympiacos	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/recko/olympiakos-pireus/soupiska/2010-2011/	1.000	CONFIRMED
eu_greece_paok	PAOK	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/recko/paok-solun/soupiska/2010-2011/	1.000	CONFIRMED
eu_greece_panathinaikos	Panathinaikos	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/recko/panathinaikos-fc/soupiska/2010-2011/	1.000	CONFIRMED
eu_hungary_debreceni-vsc	Debreceni VSC	Debreceni VSC	https://www.eurofotbal.cz/kluby/madarsko/debreceni-vsc/soupiska/2010-2011/	1.000	CONFIRMED
eu_hungary_videoton-fc	Videoton FC	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/madarsko/videoton-fc-fehervar/soupiska/2010-2011/	1.000	CONFIRMED
eu_hungary_ferencvaros	Ferencváros	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/madarsko/ferencvarosi-tc/soupiska/2010-2011/	1.000	CONFIRMED
eu_ireland_shamrock-rovers	Shamrock Rovers	Shamrock Rovers	https://www.eurofotbal.cz/kluby/irsko/shamrock-rovers/soupiska/2010/	1.000	CONFIRMED
eu_israel_hapoel-tel-aviv	Hapoel Tel Aviv	Hapoel Tel-Aviv	https://www.eurofotbal.cz/kluby/izrael/hapoel-tel-aviv/soupiska/2010-2011/	1.000	CONFIRMED
eu_israel_maccabi-haifa	Maccabi Haifa	Maccabi Haifa	https://www.eurofotbal.cz/kluby/izrael/maccabi-haifa/soupiska/2010-2011/	1.000	CONFIRMED
eu_israel_maccabi-tel-aviv	Maccabi Tel Aviv	Maccabi Tel-Aviv	https://www.eurofotbal.cz/kluby/izrael/maccabi-tel-aviv/soupiska/2010-2011/	1.000	CONFIRMED
eu_moldova_sheriff-tiraspol	Sheriff Tiraspol	Sheriff Tiraspol	https://www.eurofotbal.cz/kluby/moldavsko/sheriff-tiraspol/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_az-alkmaar	AZ Alkmaar	AZ Alkmaar	https://www.eurofotbal.cz/kluby/nizozemsko/az-alkmaar/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_ajax	Ajax	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/nizozemsko/afc-ajax/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_fc-twente	FC Twente	FC Twente	https://www.eurofotbal.cz/kluby/nizozemsko/fc-twente/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_fc-utrecht	FC Utrecht	FC Utrecht	https://www.eurofotbal.cz/kluby/nizozemsko/fc-utrecht/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_feyenoord	Feyenoord	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/nizozemsko/feyenoord-rotterdam/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_nec-nijmegen	NEC Nijmegen	NEC Nijmegen	https://www.eurofotbal.cz/kluby/nizozemsko/nec-nijmegen/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_psv-eindhoven	PSV Eindhoven	PSV Eindhoven	https://www.eurofotbal.cz/kluby/nizozemsko/psv-eindhoven/soupiska/2010-2011/	1.000	CONFIRMED
eu_netherlands_sc-heerenveen	SC Heerenveen	SC Heerenveen	https://www.eurofotbal.cz/kluby/nizozemsko/sc-heerenveen/soupiska/2010-2011/	1.000	CONFIRMED
eu_norway_molde-fk	Molde FK	Molde FK	https://www.eurofotbal.cz/kluby/norsko/molde-fk/soupiska/2010/	1.000	CONFIRMED
eu_norway_rosenborg-bk	Rosenborg BK	Rosenborg BK	https://www.eurofotbal.cz/kluby/norsko/rosenborg-bk/soupiska/2010/	1.000	CONFIRMED
eu_norway_troms-il	Tromsø IL	Tromsø IL	https://www.eurofotbal.cz/kluby/norsko/tromso-il/soupiska/2010/	1.000	CONFIRMED
eu_norway_valerenga	Vålerenga	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/norsko/valerenga-if/soupiska/2010/	1.000	CONFIRMED
eu_poland_lech-poznan	Lech Poznań	Lech Poznań	https://www.eurofotbal.cz/kluby/polsko/lech-poznan/soupiska/2010-2011/	1.000	CONFIRMED
eu_poland_legia-warsaw	Legia Warsaw	MANUALLY_MAPPED	https://www.eurofotbal.cz/kluby/polsko/legia-varsava/soupiska/2010-2011/	1.000	CONFIRMED
eu_poland_wisa-krakow	Wisła Kraków	Wisła Kraków	https://www.eurofotbal.cz/kluby/polsko/wisla-krakow/soupiska/2010-2011/	1.000	CONFIRMED
eu_portugal_cd-nacional	CD Nacional	CD Nacional	https://www.eurofotbal.cz/kluby/portugalsko/cd-nacional/soupiska/2010-2011/	1.000	CONFIRMED
eu_portugal_cs-maritimo	CS Marítimo	CS Marítimo	https://www.eurofotbal.cz/kluby/portugalsko/cs-maritimo/soupiska/2010-2011/	1.000	CONFIRMED
