club	player	status	appearances	source	position	age	overall	provenance
Austria Wien	Roland Linz	SEASON_CONFIRMED	40	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	3	28	74	SEASON_APPS_FIFA11
Austria Wien	Milenko Ačimovič	SEASON_CONFIRMED	0	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	33	73	SEASON_APPS_FIFA11
Austria Wien	Aleksandar Dragović	SEASON_CONFIRMED	23	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	1	19	71	SEASON_APPS_FIFA11
Austria Wien	Zlatko Junuzović	SEASON_CONFIRMED	34	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	22	71	SEASON_APPS_FIFA11
Austria Wien	Peter Hlinka	SEASON_CONFIRMED	29	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	31	68	SEASON_APPS_FIFA11
Austria Wien	Julian Baumgartlinger	SEASON_CONFIRMED	34	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	22	66	SEASON_APPS_FIFA11
Austria Wien	Georg Margreitter	SEASON_CONFIRMED	29	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	1	21	65	SEASON_APPS_FIFA11
Austria Wien	Petr Voříšek	SEASON_CONFIRMED	11	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	31	65	SEASON_APPS_FIFA11
Austria Wien	Fernando Troyansky	SEASON_CONFIRMED	3	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	1	32	60	SEASON_APPS_FIFA11
Austria Wien	Szabolcs Sáfár	SEASON_CONFIRMED	4	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	0	35	63	SEASON_APPS_EST_RATING
Austria Wien	Heinz Lindner	SEASON_CONFIRMED	27	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	0	20	68	SEASON_APPS_EST_RATING
Austria Wien	Manuel Ortlechner	SEASON_CONFIRMED	31	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	1	30	70	SEASON_APPS_EST_RATING
Austria Wien	Markus Suttner	SEASON_CONFIRMED	31	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	1	23	70	SEASON_APPS_EST_RATING
Austria Wien	Florian Klein	SEASON_CONFIRMED	40	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	23	72	SEASON_APPS_EST_RATING
Austria Wien	Tomáš Jun	SEASON_CONFIRMED	30	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	3	27	70	SEASON_APPS_EST_RATING
Austria Wien	Nacer Barazite	SEASON_CONFIRMED	15	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	20	65	SEASON_APPS_EST_RATING
Austria Wien	Michael Liendl	SEASON_CONFIRMED_ADDED	34	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	24	70	SEASON_ARCHIVE_EST_RATING
Austria Wien	Marko Stanković	SEASON_CONFIRMED_ADDED	32	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/	2	24	70	SEASON_ARCHIVE_EST_RATING
