club	player
Sturm Graz	Mario Klem
Neftçi PFK	Mahir Shukurov
Neftçi PFK	Flavinho
Neftçi PFK	Rodriguinho
Neftçi PFK	Elmar Bakhshiyev
Qarabağ FK	Sahil Kerimov
Qarabağ FK	Rashad Sadygov
Qarabağ FK	Aftandil Hajiyev
Qarabağ FK	Ilgar Gurbanov
Qarabağ FK	Devran Ayhan
Qarabağ FK	Nderim Nexhipi
Qarabağ FK	Tural Isgandarov
BATE Borisov	Aleksandr Gutor
BATE Borisov	Roman Stepanov
BATE Borisov	Maksim Bordachev
BATE Borisov	Pavel Nekhaychik
BATE Borisov	Aleksandr Volodko
BATE Borisov	Aleksandr Karnitskiy
BATE Borisov	Vitali Rodionov
BATE Borisov	Artem Kontsevoy
Dinamo Minsk	Aleksandar Čanović
Dinamo Minsk	Andrey Gorbunov
Dinamo Minsk	Vitaliy Marakhovskiy
Dinamo Minsk	Dmitriy Molosh
Dinamo Minsk	Oleg Veretilo
Dinamo Minsk	Mikhail Afanasyev
Dinamo Minsk	Vyacheslav Hleb
Dinamo Minsk	Sergey Kislyak
Dinamo Minsk	Anton Matveenko
Dinamo Minsk	Leonid Kovel
Dinamo Minsk	Rafael Ledesma
Dinamo Minsk	Robert Zebelyan
KSC Lokeren	Benjamin Mokulu
KSC Lokeren	Katuku Tshimanga
CSKA Sofia	Blagoy Makendzhiev
CSKA Sofia	Dimitar Iliev
Levski Sofia	Michael Tawiah
Ludogorets Razgrad	Miroslav Grigorov
Ludogorets Razgrad	Uroš Golubović
Ludogorets Razgrad	Radoslav Anev
Ludogorets Razgrad	Daniel Gramatikov
Ludogorets Razgrad	Grigor Georgiev
Ludogorets Razgrad	Diyan Dimov
Ludogorets Razgrad	Nikolay Dyulgerov
Ludogorets Razgrad	Hristo Nikolov
Ludogorets Razgrad	Suvad Grabus
Ludogorets Razgrad	Ivan Stoyanov
Litex Lovech	Ilko Pirgov
Litex Lovech	Wellington Brito da Silva
HNK Rijeka	Dino Raspor
HNK Rijeka	Vlade Lazarevski
HNK Rijeka	Alen Pamić
HNK Rijeka	Vedran Turkalj
Hajduk Split	Ivan Jakov Džoni
AEK Larnaca	Alexandre Negri
AEK Larnaca	Marios Nicolaou
AEK Larnaca	Murat Akın
AEK Larnaca	Gonzalo García
AEK Larnaca	Miljan Mrdaković
AEK Larnaca	Nordin Wooter
AEK Larnaca	Ander Murillo
AEK Larnaca	David Català
AEK Larnaca	Héctor Martínez
APOEL	Marcelo Oliveira
APOEL	Constantinos Charalambides
