club_id	player	identity_key	position	dob	appearances	source_url
eu_austria_austria-wien	Robert Almer	robertalmer	GK	20.03.1984	10	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Heinz Lindner	heinzlindner	GK	17.07.1990	27	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Szabolcs Sáfár	szabolcssafar	GK	20.08.1974	4	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Aleksandar Dragović	aleksandardragovic	DEF	06.03.1991	23	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Niklas Hoheneder	niklashoheneder	DEF	17.08.1986	6	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Fabian Koch	fabiankoch	DEF	24.06.1989	10	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Marin Leovac	marinleovac	DEF	07.08.1988	21	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Georg Margreitter	georgmargreitter	DEF	07.11.1988	29	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Manuel Ortlechner	manuelortlechner	DEF	04.03.1980	31	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Lukas Rotpuller	lukasrotpuller	DEF	31.03.1991	0	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Markus Suttner	markussuttner	DEF	16.04.1987	31	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Fernando Ariel Troyanski	fernandoarieltroyanski	DEF	24.11.1977	3	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Manuel Wallner	manuelwallner	DEF	25.10.1988	2	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Milenko Ačimović	milenkoacimovic	MID	15.02.1977	0	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Nacer Barazite	nacerbarazite	MID	27.05.1990	15	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
eu_austria_austria-wien	Julian Baumgartlinger	julianbaumgartlinger	MID	02.01.1988	34	https://www.eurofotbal.cz/kluby/rakousko/austria-viden/soupiska/2010-2011/
